"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 21 13:48:14 IDT 2024","Sun Jul 21 13:48:22 IDT 2024","7999","tests.tests_teardown","test_teardown","TestTearDown","","","test_teardown_3[8]",""
"passed","Sun Jul 21 13:47:31 IDT 2024","Sun Jul 21 13:47:31 IDT 2024","0","tests.tests_dependencies","test_dependencies","TestDependencies","","","test_dependencies_1",""
"passed","Sun Jul 21 13:47:46 IDT 2024","Sun Jul 21 13:47:46 IDT 2024","0","tests.tests_setup","test_setup","TestSetUp","","","test_setup_1[2]",""
"skipped","Sun Jul 21 13:47:31 IDT 2024","Sun Jul 21 13:47:31 IDT 2024","0","Benchmarks","test_case","TestBenchmark","","","test_file_running_time[20-file20]",""
"skipped","Sun Jul 21 13:47:31 IDT 2024","Sun Jul 21 13:47:31 IDT 2024","0","Benchmarks","test_case","TestBenchmark","","","test_file_running_time[86-file20]",""
"skipped","Sun Jul 21 13:47:31 IDT 2024","Sun Jul 21 13:47:31 IDT 2024","0","Benchmarks","test_case","TestBenchmark","","","test_file_running_time[63-file20]",""
"skipped","Sun Jul 21 13:47:31 IDT 2024","Sun Jul 21 13:47:31 IDT 2024","0","Benchmarks","test_case","TestBenchmark","","","test_file_running_time[18-file20]",""
"broken","Sun Jul 21 13:47:46 IDT 2024","Sun Jul 21 13:47:46 IDT 2024","0","tests.tests_setup","test_steup_2","TestSetup2","","","test_setup_1[70]",""
"passed","Sun Jul 21 13:47:46 IDT 2024","Sun Jul 21 13:47:46 IDT 2024","0","tests.tests_setup","test_steup_2","TestSetup2","","","test_setup_1[1]",""
"broken","Sun Jul 21 13:47:46 IDT 2024","Sun Jul 21 13:47:46 IDT 2024","0","tests.tests_setup","test_steup_2","TestSetup2","","","test_setup_1[49]",""
"broken","Sun Jul 21 13:47:46 IDT 2024","Sun Jul 21 13:47:46 IDT 2024","0","tests.tests_setup","test_steup_2","TestSetup2","","","test_setup_1[30]",""
"skipped","Sun Jul 21 13:47:31 IDT 2024","Sun Jul 21 13:47:31 IDT 2024","0","Benchmarks","test_case","TestBenchmark","","","test_file_running_time[10-file20]",""
"skipped","Sun Jul 21 13:47:31 IDT 2024","Sun Jul 21 13:47:31 IDT 2024","0","Benchmarks","test_case","TestBenchmark","","","test_file_running_time[87-file20]",""
"broken","Sun Jul 21 13:47:46 IDT 2024","Sun Jul 21 13:47:46 IDT 2024","0","tests.tests_setup","test_steup_2","TestSetup2","","","test_setup_1[39]",""
